RL,Vc,Vout
10,0.0178836584091,0.00309205055237
11.2201845430196,0.0179473161697,0.00309205055237
12.5892541179417,0.0180199146271,0.00309181213379
14.1253754462275,0.0181024074554,0.00309145450592
15.8489319246111,0.0181957483292,0.00309085845947
17.7827941003892,0.0183011293411,0.00309002399445
19.9526231496888,0.0184199810028,0.00308918952942
22.3872113856834,0.0185539722443,0.0030882358551
25.1188643150958,0.0187046527863,0.00308704376221
28.1838293126446,0.0188748836517,0.00308585166931
31.6227766016838,0.0190680027008,0.00308442115784
35.4813389233576,0.0192849636078,0.00308299064636
39.8107170553498,0.0195283889771,0.00308156013489
44.6683592150964,0.0198018550873,0.00307989120483
50.1187233627273,0.0201091766357,0.0030779838562
56.234132519035,0.0204548835754,0.00307607650757
63.0957344480194,0.0208435058594,0.00307416915894
70.7945784384139,0.0218844413757,0.00306987762451
79.4328234724283,0.64696598053,8.4400177002e-05
89.1250938133747,0.655611991882,6.00814819336e-05
100,0.659769535065,4.62532043457e-05
112.201845430197,0.660989761353,4.00543212891e-05
125.892541179417,0.661754608154,3.5285949707e-05
141.253754462276,0.66240978241,3.14712524414e-05
158.489319246112,0.662970542908,2.8133392334e-05
177.827941003893,0.663453102112,2.47955322266e-05
199.526231496889,0.663868904114,2.24113464355e-05
223.872113856835,0.664228439331,2.00271606445e-05
251.188643150959,0.664539337158,1.81198120117e-05
281.838293126446,0.664810180664,1.62124633789e-05
316.227766016839,0.665044784546,1.47819519043e-05
354.813389233577,0.66524887085,1.33514404297e-05
398.107170553499,0.665427207947,1.23977661133e-05
446.683592150965,0.665583610535,1.09672546387e-05
501.187233627274,0.665720939636,1.00135803223e-05
562.341325190351,0.665837287903,9.05990600586e-06
630.957344480196,0.665941238403,8.58306884766e-06
707.945784384141,0.666030883789,7.62939453125e-06
794.328234724285,0.666108131409,7.62939453125e-06
891.25093813375,0.666176795959,6.67572021484e-06
1000,0.666234970093,6.19888305664e-06
1122.01845430197,0.666284561157,6.19888305664e-06
1258.92541179417,0.66632938385,5.72204589844e-06
1412.53754462276,0.666365623474,5.24520874023e-06
1584.89319246112,0.666397094727,5.24520874023e-06
1778.27941003893,0.666422843933,4.29153442383e-06
1995.26231496889,0.666443824768,4.29153442383e-06
2238.72113856835,0.66646194458,4.29153442383e-06
2511.88643150959,0.666477203369,3.81469726562e-06
2818.38293126447,0.666491508484,3.81469726562e-06
3162.2776601684,0.666498184204,3.33786010742e-06
3548.13389233577,0.666506767273,3.33786010742e-06
3981.071705535,0.666513442993,2.86102294922e-06
4466.83592150966,0.666518211365,2.86102294922e-06
5011.87233627275,0.666522026062,2.38418579102e-06
5623.41325190353,0.666525840759,2.38418579102e-06
6309.57344480197,0.666528701782,2.38418579102e-06
7079.45784384143,0.666530609131,1.90734863281e-06
7943.28234724287,0.666532516479,1.90734863281e-06
8912.50938133752,0.666534423828,1.90734863281e-06
10000.0000000001,0.666536331177,1.90734863281e-06
11220.1845430197,0.666537284851,1.90734863281e-06
12589.2541179418,0.666541099548,1.43051147461e-06
14125.3754462276,0.666542053223,1.43051147461e-06
15848.9319246112,0.666543960571,1.43051147461e-06
17782.7941003894,0.666546821594,1.43051147461e-06
19952.6231496889,0.666548728943,9.53674316406e-07
22387.2113856836,0.666550636292,9.53674316406e-07
25118.864315096,0.66655254364,9.53674316406e-07
28183.8293126448,0.666554450989,9.53674316406e-07
31622.776601684,0.666556358337,9.53674316406e-07
35481.3389233578,0.666558265686,4.76837158203e-07
39810.7170553501,0.666561126709,4.76837158203e-07
44668.3592150967,0.666562080383,4.76837158203e-07
50118.7233627277,0.666563987732,4.76837158203e-07
56234.1325190354,0.666565895081,4.76837158203e-07
63095.7344480199,0.666566848755,4.76837158203e-07
70794.5784384144,0.666568756104,4.76837158203e-07
79432.8234724289,0.666569709778,4.76837158203e-07
89125.0938133754,0.666570663452,4.76837158203e-07
100000,0.666571617126,4.76837158203e-07